budget,genres,id,keywords,original_language,popularity,revenue,runtime,title_x,vote_average,vote_count,title_y,cast,director,release_year,release_month
237000000,"Action,Adventure,Fantasy",19995,"culture clash,future,space war",en,150.437577,2787965087,162.0,Avatar,7.2,11800,Avatar,"Sam Worthington,Zoe Saldana,Sigourney Weaver",James Cameron,2009,12
300000000,"Adventure,Fantasy,Action",285,"ocean,drug abuse,exotic island",en,139.082615,961000000,169.0,Pirates of the Caribbean: At World's End,6.9,4500,Pirates of the Caribbean: At World's End,"Johnny Depp,Orlando Bloom,Keira Knightley",Gore Verbinski,2007,5
245000000,"Action,Adventure,Crime",206647,"spy,based on novel,secret agent",en,107.376788,880674609,148.0,Spectre,6.3,4466,Spectre,"Daniel Craig,Christoph Waltz,Léa Seydoux",Sam Mendes,2015,10
250000000,"Action,Crime,Drama",49026,"dc comics,crime fighter,terrorist",en,112.31295,1084939099,165.0,The Dark Knight Rises,7.6,9106,The Dark Knight Rises,"Christian Bale,Michael Caine,Gary Oldman",Christopher Nolan,2012,7
260000000,"Action,Adventure,Science Fiction",49529,"based on novel,mars,medallion",en,43.926995,284139100,132.0,John Carter,6.1,2124,John Carter,"Taylor Kitsch,Lynn Collins,Samantha Morton",Andrew Stanton,2012,3
258000000,"Fantasy,Action,Adventure",559,"dual identity,amnesia,sandstorm",en,115.699814,890871626,139.0,Spider-Man 3,5.9,3576,Spider-Man 3,"Tobey Maguire,Kirsten Dunst,James Franco",Sam Raimi,2007,5
260000000,"Animation,Family",38757,"hostage,magic,horse",en,48.681969,591794936,100.0,Tangled,7.4,3330,Tangled,"Zachary Levi,Mandy Moore,Donna Murphy",Byron Howard,2010,11
280000000,"Action,Adventure,Science Fiction",99861,"marvel comic,sequel,superhero",en,134.279229,1405403694,141.0,Avengers: Age of Ultron,7.3,6767,Avengers: Age of Ultron,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",Joss Whedon,2015,4
250000000,"Adventure,Fantasy,Family",767,"witch,magic,broom",en,98.885637,933959197,153.0,Harry Potter and the Half-Blood Prince,7.4,5293,Harry Potter and the Half-Blood Prince,"Daniel Radcliffe,Rupert Grint,Emma Watson",David Yates,2009,7
250000000,"Action,Adventure,Fantasy",209112,"dc comics,vigilante,superhero",en,155.790452,873260194,151.0,Batman v Superman: Dawn of Justice,5.7,7004,Batman v Superman: Dawn of Justice,"Ben Affleck,Henry Cavill,Gal Gadot",Zack Snyder,2016,3
270000000,"Adventure,Fantasy,Action",1452,"saving the world,dc comics,invulnerability",en,57.925623,391081192,154.0,Superman Returns,5.4,1400,Superman Returns,"Brandon Routh,Kevin Spacey,Kate Bosworth",Bryan Singer,2006,6
200000000,"Adventure,Action,Thriller",10764,"killing,undercover,secret agent",en,107.928811,586090727,106.0,Quantum of Solace,6.1,2965,Quantum of Solace,"Daniel Craig,Olga Kurylenko,Mathieu Amalric",Marc Forster,2008,10
200000000,"Adventure,Fantasy,Action",58,"witch,fortune teller,bondage",en,145.847379,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp,Orlando Bloom,Keira Knightley",Gore Verbinski,2006,6
255000000,"Action,Adventure,Western",57201,"texas,horse,survivor",en,49.046956,89289910,149.0,The Lone Ranger,5.9,2311,The Lone Ranger,"Johnny Depp,Armie Hammer,William Fichtner",Gore Verbinski,2013,7
225000000,"Action,Adventure,Fantasy",49521,"saving the world,dc comics,superhero",en,99.398009,662845518,143.0,Man of Steel,6.5,6359,Man of Steel,"Henry Cavill,Amy Adams,Michael Shannon",Zack Snyder,2013,6
225000000,"Adventure,Family,Fantasy",2454,"based on novel,fictional place,brother sister relationship",en,53.978602,419651413,150.0,The Chronicles of Narnia: Prince Caspian,6.3,1630,The Chronicles of Narnia: Prince Caspian,"Ben Barnes,William Moseley,Anna Popplewell",Andrew Adamson,2008,5
220000000,"Science Fiction,Action,Adventure",24428,"new york,shield,marvel comic",en,144.448633,1519557910,143.0,The Avengers,7.4,11776,The Avengers,"Robert Downey Jr.,Chris Evans,Mark Ruffalo",Joss Whedon,2012,4
